"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-78.55","45.58","ALGONQUIN PARK","6080189","1917-01","1917","01","","M","","M","","M","","M","","M","","M","","M","","M","","","","","",""
"-78.55","45.58","ALGONQUIN PARK","6080189","1917-02","1917","02","","M","","M","","M","","M","","M","","M","","M","","M","","","","","",""
"-78.55","45.58","ALGONQUIN PARK","6080189","1917-03","1917","03","","M","","M","","M","","M","","M","","M","","M","","M","","","","","",""
"-78.55","45.58","ALGONQUIN PARK","6080189","1917-04","1917","04","","M","","M","","M","","M","","M","","M","","M","","M","","","","","",""
"-78.55","45.58","ALGONQUIN PARK","6080189","1917-05","1917","05","","M","","M","","M","","M","","M","","M","","M","","M","","","","","",""
"-78.55","45.58","ALGONQUIN PARK","6080189","1917-06","1917","06","","M","","M","","M","","M","","M","","M","","M","","M","","","","","",""
"-78.55","45.58","ALGONQUIN PARK","6080189","1917-07","1917","07","24.7","","12.3","","18.5","","33.3","","4.4","S","83.1","","0.0","","83.1","","","","","","",""
"-78.55","45.58","ALGONQUIN PARK","6080189","1917-08","1917","08","22.9","","9.5","","16.2","","32.2","","1.1","","69.3","","0.0","","69.3","","","","","","",""
"-78.55","45.58","ALGONQUIN PARK","6080189","1917-09","1917","09","18.9","","3.8","","11.4","","25.6","","-2.8","S","32.3","","0.0","","32.3","","","","","","",""
"-78.55","45.58","ALGONQUIN PARK","6080189","1917-10","1917","10","6.6","","-1.2","","2.7","","14.4","","-7.2","","100.1","","12.7","","112.8","","","","","","",""
